Community,P/T,HDD,WEATHER
Aklavik,NT,9247,OLD CROW
Akulivik,QC,8283,INUKJUAK
Anahim Lake,BC,5572,PUNTZI MOUNTAIN
Arctic Bay,NU,11002,ARCTIC BAY
Armstrong,ON,5635,ARMSTRONG
Arviat,NU,9648,ARVIAT CLIMATE
Aupaluk,QC,8022,KUUJJUAQ
Baker Lake,NU,10235,BAKER LAKE
Barren Lands,MB,7509,COLLINS BAY
Beaver Creek,YT,7672,BURWASH
Biscotasing,ON,5826,TIMMINS
Black Tickle,NL,6106,MARY'S HARBOUR
Brochet,MB,7509,COLLINS BAY
Burwash Landing,YK,7672,BURWASH
Cambridge Bay,NU,11204,CAMBRIDGE BAY
Cape Dorset,NU,9258,CAPE DORSET CLIMATE
Cartwright,NL,6296,CARTWRIGHT
Charlottetown,NL,6106,MARY'S HARBOUR
Chesterfield Inlet,NU,9999,RANKIN INLET
Chipewyan Lake,AB,8407,TADOULE LAKE
Clova,QC,5782,VAL-D'OR
Clyde River,NU,10723,CLYDE RIVER CLIMATE
Collins,ON,6462,ARMSTRONG
Colville Lake,NT,8351,FORT GOOD HOPE
Coral Harbour,NU,10173,CORAL HARBOUR
Crescent Spur,BC,4965,PRINCE GEORGE
Da'naxda'xw First Nation,BC,3595,SALMON ARM
Dease River 4,BC,7199,WATSON LAKE
Déline,NT,8602,DÉLINE
Destruction Bay,YT,7672,BURWASH
Fort Chipewyan,AB,7037,FORT SMITH
Fort Good Hope,NT,8351,FORT GOOD HOPE
Fort Hope,ON,6805,LANSDOWNE HOUSE
Fort Liard,NT,6713,FORT LIARD
Fort McPherson,NT,8716,LITTLE CHICAGO
Fort Providence,NT,7285,FORT PROVIDENCE
Fort Severn,ON,7794,PEAWANUCK
Fort Simpson,NT,7360,FORT SIMPSON
François,NL,4629,BURGEO
Gamètì,NT,8111,LAC LA MARTRE
Gilford Island,BC,3451,PORT HARDY
Gjoa Haven,NU,11322,GJOA HAVEN CLIMATE
Good Hope Lake,BC,6732,DEASE LAKE
Grey River,NL,4629,BURGEO
Grise Fiord,NU,12964,EUREKA
Grosse-Île,QC,4494,ÎLES DE LA MADELEINE
Gull Bay,ON,6462,ARMSTRONG
Gwawaenuk,BC,3451,PORT HARDY
Hall Beach,NU,11059,HALL BEACH
Hesquiaht,BC,3054,ESTEVAN POINT
Hopedale,NL,6296,CARTWRIGHT
Igloolik,NU,11059,HALL BEACH
Inukjuak,QC,8283,INUKJUAK
Iqaluit,NU,9483,IQALUIT
Ivujivik,QC,9258,CAPE DORSET CLIMATE
Jade City,BC,6732,DEASE LAKE
Jean Marie River,NT,7360,FORT SIMPSON
Kakisa,NT,7285,FORT PROVIDENCE
Kangiqsualujjuaq,QC,8022,KUUJJUAQ
Kangiqsujuaq,QC,9483,IQALUIT
Kangirsuk,QC,8022,KUUJJUAQ
Kimmirut,NU,9483,IQALUIT
Kingcome Inlet,BC,3451,PORT HARDY
Kinoosao,SK,7509,COLLINS BAY
Kluskus,BC,5572,PUNTZI MOUNTAIN
Knight Inlet,BC,3451,PORT HARDY
Kugaaruk,NU,11047,KUGAARUK CLIMATE
Kugluktuk,NU,9967,KUGLUKTUK
Kulkayu,BC,3454,BONILLA ISLAND
Kuujjuaq,QC,8022,KUUJJUAQ
Kuujjuarapik,QC,7577,KUUJJUARAPIK
Kwadacha,BC,6572,FORT NELSON
Lac Brochet,MB,7509,COLLINS BAY
Les Îles-a-la-Madeleine,QC,4494,ÎLES DE LA MADELEINE
Liard First Nation,YT,7199,WATSON LAKE
L'Île d'Anticosti,QC,5757,NATASHQUAN
Lodge Bay,NL,6106,MARY'S HARBOUR
Lower Post,BC,7199,WATSON LAKE
Lutselk'e,NT,8098,LUTSELK'E
Makkovik,NL,6296,CARTWRIGHT
Mary's Harbour,NL,6106,MARY'S HARBOUR
Masset,BC,3571,ROSE SPIT
McCallum,NL,4373,ST-LAWRENCE
Nahanni Butte,NT,6972,YOHIN
Nain,NL,6296,CARTWRIGHT
Natuashish 2,NL,6296,CARTWRIGHT
Naujaat,NU,11047,KUGAARUK CLIMATE
Neskantaga,ON,6805,LANSDOWNE HOUSE
