LOCATION,HDD,LIBRARY
OLD CROW,9247,Wth2020.dir
INUKJUAK,8283,Wth2020.dir
ARCTIC BAY,11002,Wth2020.dir
BURWASH,7672,Wth2020.dir
CAMBRIDGE BAY,11204,Wth2020.dir
RANKIN INLET,9999,Wth2020.dir
FORT SMITH,7037,Wth2020.dir
FORT SIMPSON,7360,Wth2020.dir
EUREKA,12964,Wth2020.dir
HALL BEACH,11059,Wth2020.dir
IQALUIT,9483,Wth2020.dir
KUGAARUK CLIMATE,11047,Wth2020.dir
BONILLA ISLAND,3454,Wth2020.dir
WATSON LAKE,7199,Wth2020.dir
MARY'S HARBOUR,6106,Wth2020.dir
CHAMOUCHOUANE,6296,Wth2020.dir
LANSDOWNE HOUSE,6805,Wth2020.dir
POND INLET,11304,Wth2020.dir
KUUJJUAQ,8022,Wth2020.dir
LITTLE CHICAGO,8716,Wth2020.dir
NORMAN WELLS,8231,Wth2020.dir
LAC LA MARTRE,8111,Wth2020.dir
RESOLUTE BAY,11759,Wth2020.dir
